UNIT,PLANT,PARENT,URL,SPONSOR,CAPACITY_MW,STATUS,REGION,COUNTRY,SUBNATIONAL_UNIT,GEOPOINT
Unit 4,Loy Yang A Power Station,Agl Energy Ltd; Mtaa Super; Ratch Group Plc; Tokyo Electric Power Co,https://www.gem.wiki/Loy_Yang_A_power_station,,560,Operating,Oceania,Australia,Victoria,-38.25241
Unit 2,Mount Piper Power Station,Clp Holdings Ltd,https://www.gem.wiki/Mount_Piper_power_station,,660,Operating,Oceania,Australia,New South Wales,-33.35809
Stage C,,,,,,,,,,
Unit 1,Northern Augusta Power Station,Chow Tai Fook Enterprises Ltd,https://www.gem.wiki/Northern_Augusta_power_station,,260,Retired,Oceania,Australia,South Australia,-32.54252
Unit 1,Playford Power Station,Chow Tai Fook Enterprises Ltd,https://www.gem.wiki/Playford_power_station,,60,Retired,Oceania,Australia,South Australia,-32.53852
Unit 5,Swanbank-A Power Station,Stanwell Corp Ltd,https://www.gem.wiki/Swanbank-A_power_station,,66,Retired,Oceania,Australia,Queensland,-27.66054
Unit 6,Swanbank-A Power Station,Stanwell Corp Ltd,https://www.gem.wiki/Swanbank-A_power_station,,66,Retired,Oceania,Australia,Queensland,-27.66054
Unit 4,Swanbank-B Power Station,Stanwell Corp Ltd,https://www.gem.wiki/Swanbank-B_power_station,,125,Retired,Oceania,Australia,Queensland,-27.66054
Phase B Unit 2,Vales Point Power Station,Sunset Power International,https://www.gem.wiki/Vales_Point_power_station,,660,Operating,Oceania,Australia,New South Wales,-33.16101
Unit 4,Yallourn W Power Station,Clp Holdings Ltd,https://www.gem.wiki/Yallourn_W_power_station,,380,Operating,Oceania,Australia,Victoria,-38.17728
Unit 1,Zeltweg Power Station,Verbund Ag,https://www.gem.wiki/Zeltweg_power_station,,137,Retired,Europe,Austria,Styria,47.25
,Bhola Power Station (S Alam),Lanco Infratech Ltd; S Alam Group,https://www.gem.wiki/Bhola_power_station_(S_Alam),,217,Cancelled,Asia,Bangladesh,Barisal,22.6903
Unit 1,Daudkandi Power Station,Meghna Group; Power Construction Corporation Of China Ltd,https://www.gem.wiki/Daudkandi_power_station,,660,Cancelled,Asia,Bangladesh,Chittagong,23.53333
Unit 2,Daudkandi Power Station,Meghna Group; Power Construction Corporation Of China Ltd,https://www.gem.wiki/Daudkandi_power_station,,660,Cancelled,Asia,Bangladesh,Chittagong,23.53333
Unit 2,Gaibandha Ashuganj Power Station,Ashuganj Power Station Co Ltd,https://www.gem.wiki/Gaibandha_Ashuganj_power_station,,660,Cancelled,Asia,Bangladesh,Gaibandha,25.2979
Unit 1,Maheshkhali Power Station (Huadian),Huadian Chittagong,https://www.gem.wiki/Maheshkhali_power_station_(Huadian),,660,Cancelled,Asia,Bangladesh,Chittagong,21.63415
Unit 1,Maheshkhali Power Station (Kepco),Korea Electric Power Corp,https://www.gem.wiki/Maheshkhali_power_station_(KEPCO),,660,Cancelled,Asia,Bangladesh,Chittagong,21.63295
Unit 2,Maheshkhali Power Station (Kepco),Korea Electric Power Corp,https://www.gem.wiki/Maheshkhali_power_station_(KEPCO),,660,Cancelled,Asia,Bangladesh,Chittagong,21.63295
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
,Phulbari Coal Project (Asia Energy),Gcm Resources,https://www.gem.wiki/Phulbari_Coal_Project_(Asia_Energy),,1000,Cancelled,Asia,Bangladesh,Rangpur,25.94687
Unit 2,Phulbari Power Station (China Gezhouba),China Energy Engineering Corp Ltd; Gcm Resources,https://www.gem.wiki/Phulbari_power_station_(China_Gezhouba),,1000,Cancelled,Asia,Bangladesh,Rangpur,25.94687
Unit 2,Phulbari Power Station (Sinohydro),Gcm Resources; Power Construction Corporation Of China Ltd,https://www.gem.wiki/Phulbari_power_station_(Sinohydro),,1000,Announced,Asia,Bangladesh,Rangpur,25.94687
Unit 3,Phulbari Power Station (Sinohydro),Gcm Resources; Power Construction Corporation Of China Ltd,https://www.gem.wiki/Phulbari_power_station_(Sinohydro),,1000,Announced,Asia,Bangladesh,Rangpur,25.94687
Unit 1,Rampal Power Station,Bangladesh Power Development Board [50.0%]; Ntpc Ltd [50.0%],https://www.gem.wiki/Rampal_power_station,,660,Operating,Asia,Bangladesh,Khulna,22.59246
Unit 1,Sena Kalyan Sangstha Power Station,Sena Kalyan Sangstha,https://www.gem.wiki/Sena_Kalyan_Sangstha_power_station,,660,Cancelled,Asia,Bangladesh,Barisal,21.989
Unit 2,Amercoeur Power Station,Engie Sa,https://www.gem.wiki/Amercoeur_power_station,,127,Retired,Europe,Belgium,Hainaut,50.431
,Antwerp Power Station,E.On Se,https://www.gem.wiki/Antwerp_Power_Station,,1100,Cancelled,Europe,Belgium,Antwerp,51.21922
Unit 5,Awirs Power Station,Engie Sa,https://www.gem.wiki/Awirs_power_station,,300,Retired,Europe,Belgium,Leige,50.5851
Unit 1,Farciennes Power Station,Engie Sa,https://www.gem.wiki/Farciennes_power_station,,92,Retired,Europe,Belgium,Hainaut,50.42
Unit 11,Mol Power Station,Engie Sa,https://www.gem.wiki/Mol_power_station,,124,Retired,Europe,Belgium,Antwerp,51.2234
Unit 12,Mol Power Station,Engie Sa,https://www.gem.wiki/Mol_power_station,,131,Retired,Europe,Belgium,Antwerp,51.2234
Unit 1,Monceau-Sur-Sambre Power Station,Engie Sa,https://www.gem.wiki/Monceau-Sur-Sambre_power_station,,50,Retired,Europe,Belgium,Hainaut,50.4034
Unit 10,Monceau-Sur-Sambre Power Station,Engie Sa,https://www.gem.wiki/Monceau-Sur-Sambre_power_station,,116,Retired,Europe,Belgium,Hainaut,50.4034
Unit 2,Monceau-Sur-Sambre Power Station,Engie Sa,https://www.gem.wiki/Monceau-Sur-Sambre_power_station,,50,Retired,Europe,Belgium,Hainaut,50.4034
Unit 1,Rodenhuize Power Station,Engie Sa,https://www.gem.wiki/Rodenhuize_power_station,,133,Retired,Europe,Belgium,East Flanders,51.13026
Unit 32,Schelle Power Station,Engie Sa,https://www.gem.wiki/Schelle_power_station,,136,Retired,Europe,Belgium,Antwerp,51.12327
Unit 7,Kakanj Thermal Power Plant,Jp Elektroprivreda Bih,https://www.gem.wiki/Kakanj_Thermal_Power_Plant,,230,Operating,Europe,Bosnia And Herzegovina,Fbih,44.08963
Unit 9,Kakanj Thermal Power Plant,Elektroprivreda Bih Dd,https://www.gem.wiki/Kakanj_Thermal_Power_Plant,,300,Cancelled,Europe,Bosnia And Herzegovina,Fbih,44.08972
Unit 2,Kongora Thermal Power Plant,Elektroprivreda Hzhb,https://www.gem.wiki/Kongora_Thermal_Power_Plant,,275,Cancelled,Europe,Bosnia And Herzegovina,Fbih,43.64611
Unit 1,Miljevina Power Station,To Be Determined,https://www.gem.wiki/Miljevina_power_station,,110,Cancelled,Europe,Bosnia And Herzegovina,Republika Srpska,43.5183
Unit 3,Tuzla Thermal Power Plant,Jp Elektroprivreda Bih,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,,100,Operating,Europe,Bosnia And Herzegovina,Fbih,44.52104
Unit 5,Tuzla Thermal Power Plant,Jp Elektroprivreda Bih,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,,200,Operating,Europe,Bosnia And Herzegovina,Fbih,44.52104
Unit 7,Tuzla Thermal Power Plant,Elektroprivreda Bih Dd,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,,450,Pre-Permit,Europe,Bosnia And Herzegovina,Fbih,44.52
Unit 1,Ugljevik Power Station,Elektroprivreda Republike Srpske,https://www.gem.wiki/Ugljevik_power_station,,300,Operating,Europe,Bosnia And Herzegovina,Republika Srpska,44.68219
Expansion Unit 1,Ugljevik Power Station,Elektroprivreda Republike Srpske,https://www.gem.wiki/Ugljevik_power_station,,350,Pre-Permit,Europe,Bosnia And Herzegovina,Republika Srpska,44.68345
Stage Iii,,,,,,,,,,
Unit 1,Mookane Domestic Power Project,Gcl Poly Energy Holdings; Jindal Steel & Power Ltd,https://www.gem.wiki/Mookane_Domestic_Power_Project,,150,Cancelled,Africa,Botswana,Central,-23.6875
Unit 2,Morupule B Power Station,Botswana Power Corp,https://www.gem.wiki/Morupule_B_power_station,,150,Operating,Africa,Botswana,Central,-22.52233
Unit 4,Morupule Ipp,Energy & Natural Resource Corporation Botswana,https://www.gem.wiki/Morupule_IPP,,150,Cancelled,Africa,Botswana,Central,-22.55
,Charqueadas Power Station,Engie Brasil Energia Sa,https://www.gem.wiki/Charqueadas_power_station,,72,Retired,Americas,Brazil,Rio Grande Do Sul,-29.95131
,Ctsul Power Station,Ctsul,https://www.gem.wiki/CTSul_power_station,,650,Cancelled,Americas,Brazil,Rio Grande Do Sul,-29.51509
,Itaqui Power Station,Eneva Sa,https://www.gem.wiki/Itaqui_power_station,,360,Operating,Americas,Brazil,MaranhÃ£o,-2.58731
,MaranhÃ£o SÃ£o LuÃ­s Power Station,Edp Brasil Sa,https://www.gem.wiki/Maranh%C3%A3o_S%C3%A3o_Lu%C3%ADs_power_station,,350,Cancelled,Americas,Brazil,MaranhÃ£o,-2.528
Presidente MÃ©dici-A Power Station Unit 1,Presidente MÃ©dici Candiota Power Station,Eletrobras Sa,https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station,,63,Retired,Americas,Brazil,Rio Grande Do Sul,-31.55136
Presidente MÃ©dici-A Power Station Unit 2,Presidente MÃ©dici Candiota Power Station,Eletrobras Sa,https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station,,63,Retired,Americas,Brazil,Rio Grande Do Sul,-31.55136
Presidente MÃ©dici-B Power Station Unit 1,Presidente MÃ©dici Candiota Power Station,Eletrobras Sa,https://www.gem.wiki/Presidente_M%C3%A9dici_Candiota_power_station,,160,Retired,Americas,Brazil,Rio Grande Do Sul,-31.55136
Unit 2,SÃ£o Luis Alumar Power Station,Alcoa Corp [54.0%]; South32 [36.0%]; Rio Tinto [10.0%],https://www.gem.wiki/S%C3%A3o_Luis_Alumar_power_station,,38,Operating,Americas,Brazil,MaranhÃ£o,-2.5283
,Usitesc Power Station,Carbonifera Metropolitan,https://www.gem.wiki/Usitesc_power_station,,340,Cancelled,Americas,Brazil,Santa Catarina,-28.51667
Unit 1,Maritsa Itzok-2 Power Station,Bulgarian Energy Holding Ead,https://www.gem.wiki/Maritsa_Itzok-2_power_station,,177,Operating,Europe,Bulgaria,Stara Zagora,42.25405
Unit 4,Maritsa Itzok-2 Power Station,Bulgarian Energy Holding Ead,https://www.gem.wiki/Maritsa_Itzok-2_power_station,,177,Operating,Europe,Bulgaria,Stara Zagora,42.25405
Unit 5,Maritsa Itzok-2 Power Station,Bulgarian Energy Holding Ead,https://www.gem.wiki/Maritsa_Itzok-2_power_station,,210,Operating,Europe,Bulgaria,Stara Zagora,42.25405
Unit 5,Republika Power Station,Bingham Management,https://www.gem.wiki/Republika_power_station,,105,Operating,Europe,Bulgaria,Pernik,42.60712
Unit 5,Varna Power Station,Sigda Ood,https://www.gem.wiki/Varna_power_station,,210,Retired,Europe,Bulgaria,Varna,43.19477
Unit 1,Vidin Works Power Station,Vidachim,https://www.gem.wiki/Vidin_Works_power_station,,60,Mothballed,Europe,Bulgaria,Vidin,43.94836
Unit 1,Botum Sakor Power Station,Royal Group,https://www.gem.wiki/Botum_Sakor_power_station,,350,Permitted,Asia,Cambodia,Koh Kong,10.89293
Unit 2,Han Seng Power Station,Han Seng Coal Mine Co [40.0%]; Guodian Kangneng [38.0%]; Beijing Willard Technology Co Ltd [12.0%]; China Camc Engineering Co Ltd [10.0%],https://www.gem.wiki/Han_Seng_power_station,,132,Construction,Asia,Cambodia,Oddar Meanchey,14.23008
Unit 1,Kampot Power Station,To Be Determined,https://www.gem.wiki/Kampot_power_station,,135,Cancelled,Asia,Cambodia,Kampot,10.78819
Unit 4,Kampot Power Station,To Be Determined,https://www.gem.wiki/Kampot_power_station,,135,Cancelled,Asia,Cambodia,Kampot,10.78819
Unit 2,Sihanoukville Cel Power Station,Leader Universal Holdings,https://www.gem.wiki/Sihanoukville_CEL_power_station,,50,Operating,Asia,Cambodia,Sihanoukville,10.74021
Unit 3,Sihanoukville Cel Power Station,Leader Universal Holdings,https://www.gem.wiki/Sihanoukville_CEL_power_station,,150,Operating,Asia,Cambodia,Sihanoukville,10.74021
Unit 2,Sihanoukville Csg Power Station,Cheung Sheng Global Holdings,https://www.gem.wiki/Sihanoukville_CSG_power_station,,300,Cancelled,Asia,Cambodia,Sihanoukville,10.6333
Unit 1,Alberta Sundance Power Station,Transalta Corp,https://www.gem.wiki/Alberta_Sundance_power_station,,280,Retired,Americas,Canada,Alberta,53.50741
,Atikokan Power Station,Ontario Power Generation Inc,https://www.gem.wiki/Atikokan_power_station,,230,Retired,Americas,Canada,Ontario,48.83809
Unit 4,Battle River Power Station,Energy Capital Partners,https://www.gem.wiki/Battle_River_power_station,,155,Retired,Americas,Canada,Alberta,52.46928
Unit 2,Boundary Dam Power Station,Saskpower,https://www.gem.wiki/Boundary_Dam_power_station,,62,Retired,Americas,Canada,Saskatchewan,49.09575
Unit 3,Boundary Dam Power Station,Saskpower,https://www.gem.wiki/Boundary_Dam_power_station,,110,Operating,Americas,Canada,Saskatchewan,49.09575
Unit 2,Bow City Power Station,Bow City Power,https://www.gem.wiki/Bow_City_power_station,,500,Cancelled,Americas,Canada,Alberta,50.56417
Unit 2,Keephills Power Station,Transalta Corp,https://www.gem.wiki/Keephills_power_station,,403,Retired,Americas,Canada,Alberta,53.44767
Unit 3,Keephills Power Station,Transalta Corp,https://www.gem.wiki/Keephills_power_station,,495,Retired,Americas,Canada,Alberta,53.44767
Unit 2,Lakeview Generating Station,Ontario Power Generation Inc,https://www.gem.wiki/Lakeview_Generating_Station,,300,Retired,Americas,Canada,Ontario,43.57111
Unit 3,Lakeview Generating Station,Ontario Power Generation Inc,https://www.gem.wiki/Lakeview_Generating_Station,,300,Retired,Americas,Canada,Ontario,43.57111
Unit 4,Lambton Power Station,Ontario Power Generation Inc,https://www.gem.wiki/Lambton_power_station,,500,Retired,Americas,Canada,Ontario,42.7968
Unit 1,Lambton Power Station,Ontario Power Generation Inc,https://www.gem.wiki/Lambton_power_station,,500,Retired,Americas,Canada,Ontario,42.7968
Unit 2,Lingan Power Station,Emera Inc,https://www.gem.wiki/Lingan_power_station,,158,Operating,Americas,Canada,Nova Scotia,46.23557
Unit 3,Lingan Power Station,Emera Inc,https://www.gem.wiki/Lingan_power_station,,158,Operating,Americas,Canada,Nova Scotia,46.23557
Unit 2,Nanticoke Power Station,Ontario Power Generation Inc,https://www.gem.wiki/Nanticoke_power_station,,490,Retired,Americas,Canada,Ontario,42.79729
Unit 3,Nanticoke Power Station,Ontario Power Generation Inc,https://www.gem.wiki/Nanticoke_power_station,,490,Retired,Americas,Canada,Ontario,42.79729
Unit 2,Point Tupper Power Station,Emera Inc,https://www.gem.wiki/Point_Tupper_power_station,,150,Operating,Americas,Canada,Nova Scotia,45.58642
Unit 2,Poplar River Power Station,Saskpower,https://www.gem.wiki/Poplar_River_power_station,,315,Operating,Americas,Canada,Saskatchewan,49.05703
Unit 1,Shand Power Station,Saskpower,https://www.gem.wiki/Shand_power_station,,300,Operating,Americas,Canada,Saskatchewan,49.08823
Unit 2,Sheerness Power Station,Energy Capital Partners,https://www.gem.wiki/Sheerness_power_station,,390,Retired,Americas,Canada,Alberta,51.44272
Unit 5,Trenton Generating Station,Emera Inc,https://www.gem.wiki/Trenton_Generating_Station,,152,Operating,Americas,Canada,Nova Scotia,45.62042
Unit 1,Wabamun Power Station,Transalta Corp,https://www.gem.wiki/Wabamun_power_station,,62,Retired,Americas,Canada,Alberta,53.55823
Unit 1,Andina-Hornitos Power Station,Engie EnergÃ­a Chile Sa,https://www.gem.wiki/Andina-Hornitos_power_station,,177,Operating,Americas,Chile,Antofagasta Region,-23.08771
Unit 1,Barrancones Power Station,Engie Sa,https://www.gem.wiki/Barrancones_power_station,,180,Cancelled,Americas,Chile,Iv Region,-29.5
Unit 1,Bocamina Power Station,Enel GeneraciÃ³n Chile Sa,https://www.gem.wiki/Bocamina_power_station,,128,Retired,Americas,Chile,Biobio Region,-37.0218
Unit 3,Castilla Power Station,Eneva Sa,https://www.gem.wiki/Castilla_power_station,,350,Cancelled,Americas,Chile,Iii Region,-27.36667
Unit 2,Cochrane Power Station,Daelim Group [40.0%]; Aes Corp [30.0%]; Toesca Infraestructura Ii [30.0%],https://www.gem.wiki/Cochrane_power_station,,275,Operating,Americas,Chile,Antofagasta Region,-23.06341
Unit 2,Nueva Tocopilla Power Station,Aes Corp,https://www.gem.wiki/Nueva_Tocopilla_power_station,,141,Operating,Americas,Chile,Antofagasta Region,-22.09645
Unit 1,Punta Alcalde Power Station,Enel GeneraciÃ³n Chile Sa,https://www.gem.wiki/Punta_Alcalde_power_station,,370,Cancelled,Americas,Chile,Iii Region,-28.57028
Unit 1,Rg GeneraciÃ³n Power Station,Southern Cross Group,https://www.gem.wiki/RG_Generaci%C3%B3n_power_station,,350,Cancelled,Americas,Chile,ConcepciÃ³n,-37.01667
Unit 1,RÃ­o Corrientes Power Station,Southern Cross Group,https://www.gem.wiki/R%C3%ADo_Corrientes_power_station,,350,Cancelled,Americas,Chile,V Region,-32.75076
Unit 2,Santa MarÃ­a Power Station,ColbÃºn,https://www.gem.wiki/Santa_Mar%C3%ADa_power_station,,402,Cancelled,Americas,Chile,Biobio Region,-37.0421
Unit 13,Tocopilla Power Station,Engie EnergÃ­a Chile Sa,https://www.gem.wiki/Tocopilla_power_station,,86,Retired,Americas,Chile,Antofagasta Region,-22.09639
Unit 1,Akesu Power Station,Xinjiang Energy (Group) Co Ltd,https://www.gem.wiki/Akesu_power_station,,660,Announced,Asia,China,Xinjiang,41.09495
Unit 2,Akesu Power Station,Xinjiang Energy (Group) Co Ltd,https://www.gem.wiki/Akesu_power_station,,660,Announced,Asia,China,Xinjiang,41.09495
Unit 1,Aksu Cogen Power Station,Zhejiang Zheneng Electric Power Co Ltd,https://www.gem.wiki/Aksu_Cogen_power_station,,350,Operating,Asia,China,Xinjiang,41.15415
Unit 1,Anda Cogen Power Station,Heilongjiang Province Xinma Thermoelectricity Group Co Ltd [50.0%]; Persons [50.0%],https://www.gem.wiki/Anda_Cogen_power_station,,50,Operating,Asia,China,Heilongjiang,46.3996
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Phase I,,,,,,,,,,
Unit 1,Anhui Huainan Tianjia'An Power Station,China Datang Corp [47.5%]; Gd Power Development Co Ltd [44.9%],https://www.gem.wiki/Anhui_Huainan_Tianjia%27an_power_station,,120,Retired,Asia,China,Anhui,32.66993
Unit 3,Anhui Huainan Tianjia'An Power Station,China Datang Corp [47.5%]; Gd Power Development Co Ltd [44.9%],https://www.gem.wiki/Anhui_Huainan_Tianjia%27an_power_station,,137,Retired,Asia,China,Anhui,32.66993
Phase Ii,,,,,,,,,,
Phase I,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 2,Anshan North Power Station,China Energy Investment Corp,https://www.gem.wiki/Anshan_North_power_station,,300,Cancelled,Asia,China,Liaoning,41.196
Unit 3,Anshan North Power Station,China Energy Investment Corp,https://www.gem.wiki/Anshan_North_power_station,,300,Cancelled,Asia,China,Liaoning,41.196
Unit 4,Anshan South Power Station,China Energy Investment Corp,https://www.gem.wiki/Anshan_South_power_station,,300,Cancelled,Asia,China,Liaoning,41.108
Unit 4,Anshan Steel Company No 2 Power Station,Ansteel Group Corp,https://www.gem.wiki/Anshan_Steel_Company_No_2_power_station,,350,Cancelled,Asia,China,Liaoning,41.13298
Phase Ii,,,,,,,,,,
Phase Iii,,,,,,,,,,
Unit 1,Antaibao Gangue Power Station,China Coal Energy Co Ltd [51.0%]; China National Coal Group [49.0%],https://www.gem.wiki/Antaibao_Gangue_power_station,,350,Construction,Asia,China,Shanxi,39.47126
Phase I,,,,,,,,,,
Unit 7,Anyang Power Station,China Datang Corp,https://www.gem.wiki/Anyang_power_station,,100,Retired,Asia,China,Henan,36.11975
Unit 4,Anyuan Power Station,Huaneng Power International Inc,https://www.gem.wiki/Anyuan_power_station,,660,Operating,Asia,China,Jiangxi,27.64197
Unit 2,App Zhenjiang Jindong Mill Power Station,Fulong Investment Group [97.4%],https://www.gem.wiki/APP_Zhenjiang_Jindong_Mill_power_station,,80,Operating,Asia,China,Jiangsu,32.19441
Unit 1,App Zhenjiang Jindong Mill Power Station,Fulong Investment Group [97.4%],https://www.gem.wiki/APP_Zhenjiang_Jindong_Mill_power_station,,50,Operating,Asia,China,Jiangsu,32.19458
Phase Ii,,,,,,,,,,
Unit 1,Baise Smelter Power Station,Ningbo Ruima Enterprise Management Partnership Lp [41.2%]; Geely Group Co Ltd [33.5%]; Guangxi Baise Industrial Investment Development Group Co Ltd [25.0%],https://www.gem.wiki/Baise_Smelter_power_station,,350,Operating,Asia,China,Guangxi,23.78636
Unit 2,Baise Tiandong Power Station,Ningbo Ruima Enterprise Management Partnership Lp [41.2%]; Geely Group Co Ltd [33.5%]; Guangxi Baise Industrial Investment Development Group Co Ltd [25.0%],https://www.gem.wiki/Baise_Tiandong_power_station,,135,Operating,Asia,China,Guangxi,23.62965
Unit 1,Baise Tianyang Power Station,Ningbo Ruima Enterprise Management Partnership Lp [41.2%]; Geely Group Co Ltd [33.5%]; Guangxi Baise Industrial Investment Development Group Co Ltd [25.0%],https://www.gem.wiki/Baise_Tianyang_power_station,,150,Operating,Asia,China,Guangxi,23.78496
Unit 1,Baitao Cogen Power Station,Huafon Chemical Co Ltd [77.6%]; Agricultural Development Bank Of China [22.4%],https://www.gem.wiki/Baitao_cogen_power_station,,50,Operating,Asia,China,Chongqing,29.59294
Unit 3,Baitao Cogen Power Station,Huafon Chemical Co Ltd [77.6%]; Agricultural Development Bank Of China [22.4%],https://www.gem.wiki/Baitao_cogen_power_station,,60,Construction,Asia,China,Chongqing,29.59294
Unit 1,Baitao Industrial Park Heat Island Center Power Station,Chongqing Chemical & Pharmaceutical Holding (Group) Co [58.5%]; Chongqing Land Properties Group Limited Co [12.2%]; Chongqing Construction Investment (Group) Co Ltd [7.9%]; Chongqing Changshou Investment Development Group Co Ltd [6.9%],https://www.gem.wiki/Baitao_Industrial_Park_Heat_Island_Center_power_station,,50,Operating,Asia,China,Chongqing,29.58555
Unit 2,Baiyanghe Power Station,Huaneng Power International Inc [80.0%]; China Huaneng Group [20.0%],https://www.gem.wiki/Baiyanghe_power_station,,50,Retired,Asia,China,Shandong,36.47194
Phase I,Baiyin Aluminium Power Station,Baiyin Nonferrous Group Co Ltd,https://www.gem.wiki/Baiyin_Aluminium_power_station,,125,Cancelled,Asia,China,Gansu,36.544
Unit 2,Baode Power Station,Gd Power Development Co Ltd [52.5%]; China Shenhua Energy Co Ltd [38.8%],https://www.gem.wiki/Baode_power_station,,135,Operating,Asia,China,Shanxi,38.94431
Unit 10,Baoding Cogen Power Station,Datang International Power Generation Co Ltd,https://www.gem.wiki/Baoding_cogen_power_station,,200,Operating,Asia,China,Hebei,38.85965
Unit 2,Baoding Northwest Suburb Power Station,Shenzhen Energy Group Co Ltd,https://www.gem.wiki/Baoding_Northwest_Suburb_power_station,,350,Operating,Asia,China,Hebei,38.96184
Phase Ii,,,,,,,,,,
Unit 1,Baofeng Low Heat Power Station,Ningxia Baofeng Energy Group Co Ltd,https://www.gem.wiki/Baofeng_Low_Heat_power_station,,350,Cancelled,Asia,China,Ningxia,38.24642
Unit 2,Baoshan Works Power Station,Baoshan Iron & Steel Co Ltd,https://www.gem.wiki/Baoshan_Works_power_station,,350,Operating,Asia,China,Shanghai,31.44217
Unit 1,Baota Power Station,Zuntai Co.,,,,,,,,
Unit 2,Baotou Aluminum Power Station,Aluminum Corporation Of China Ltd,https://www.gem.wiki/Baotou_Aluminum_power_station,,330,Operating,Asia,China,Inner Mongolia,40.5572
Phase I,,,,,,,,,,
Unit 4,Baotou East Hope Power Station,East Hope Enterprise Management Co Ltd [68.0%]; Oriental Hope Investment Holding Co Ltd [32.0%],https://www.gem.wiki/Baotou_East_Hope_power_station,,155,Operating,Asia,China,Inner Mongolia,40.59531
Unit 5,Baotou East Hope Power Station,East Hope Enterprise Management Co Ltd [68.0%]; Oriental Hope Investment Holding Co Ltd [32.0%],https://www.gem.wiki/Baotou_East_Hope_power_station,,350,Operating,Asia,China,Inner Mongolia,40.59531
Phase I,,,,,,,,,,
Phase Ii,,,,,,,,,,
Unit 1,Baotou Works Power Station,People'S Government Of Inner Mongolia Autonomous Region [69.2%]; China Huarong Asset Management [15.0%]; Inner Mongolia State Owned Capital Operation Co Ltd [7.7%]; China Cinda Asset Management Co Ltd [6.2%],https://www.gem.wiki/Baotou_Works_power_station,,100,Operating,Asia,China,Inner Mongolia,40.66074
Unit 4,Baotou-1 Power Station,China Huaneng Group [74.8%]; Guangdong Hengjian Investment Holding Co Ltd [15.2%]; China Shenhua Energy Co Ltd [10.0%],https://www.gem.wiki/Baotou-1_power_station,,50,Retired,Asia,China,Inner Mongolia,40.65667
Unit 7,Baotou-1 Power Station,China Huaneng Group [74.8%]; Guangdong Hengjian Investment Holding Co Ltd [15.2%]; China Shenhua Energy Co Ltd [10.0%],https://www.gem.wiki/Baotou-1_power_station,,100,Retired,Asia,China,Inner Mongolia,40.65667
